user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
Điểm chuẩn của ngành Tâm lý học năm gần đây là bao nhiêu?,"['Điểm chuẩn 2025 theo Xét học bạ của Tâm lý học là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Tâm lý học là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Tâm lý học là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Tâm lý học là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Tâm lý học là 18.0 điểm.']",Điểm chuẩn của ngành Tâm lý học năm 2025 theo phương thức xét học bạ là 18.0 điểm.,"Đối với ngành Tâm lý học, điểm chuẩn 20204: học bạ: 18.0, thi tốt nghiệp: 16.0, đánh giá năng lục quốc gia: 650.",1.0,0.7913560578538255,0.0,0.0
Ngành Ngôn ngữ Trung Quốc có thời gian đào tạo là bao lâu?,"['Chương trình đào tạo tiếng Anh tại Viện Ngôn ngữ Văn Lang không chỉ nhằm nâng cao năng lực ngoại ngữ cho sinh viên mà còn trang bị cho các bạn nền tảng vững chắc để hội nhập toàn cầu, đáp ứng yêu cầu của thị trường lao động.. Mã ngành: . Thời gian đào tạo: 4 năm', 'Chương trình đào tạo tiếng Anh tại Viện Ngôn ngữ Văn Lang không chỉ nhằm nâng cao năng lực ngoại ngữ cho sinh viên mà còn trang bị cho các bạn nền tảng vững chắc để hội nhập toàn cầu, đáp ứng yêu cầu của thị trường lao động.. Mã ngành: . Thời gian đào tạo: 4 năm', 'Chương trình đào tạo tiếng Anh tại Viện Ngôn ngữ Văn Lang không chỉ nhằm nâng cao năng lực ngoại ngữ cho sinh viên mà còn trang bị cho các bạn nền tảng vững chắc để hội nhập toàn cầu, đáp ứng yêu cầu của thị trường lao động.. Mã ngành: . Thời gian đào tạo: 4 năm', 'Chương trình đào tạo tiếng Anh tại Viện Ngôn ngữ Văn Lang không chỉ nhằm nâng cao năng lực ngoại ngữ cho sinh viên mà còn trang bị cho các bạn nền tảng vững chắc để hội nhập toàn cầu, đáp ứng yêu cầu của thị trường lao động.. Mã ngành: . Thời gian đào tạo: 4 năm', 'Chương trình đào tạo tiếng Anh tại Viện Ngôn ngữ Văn Lang không chỉ nhằm nâng cao năng lực ngoại ngữ cho sinh viên mà còn trang bị cho các bạn nền tảng vững chắc để hội nhập toàn cầu, đáp ứng yêu cầu của thị trường lao động.. Mã ngành: . Thời gian đào tạo: 4 năm']","Tôi chưa có thông tin chính xác cho câu hỏi này, bạn vui lòng liên hệ bộ phận tuyển sinh để được hỗ trợ cụ thể hơn.",Thời gian đào tạo của ngành Ngôn ngữ Trung Quốc là 4 năm.,0.0,0.0,0.0,0.0
Mã ngành của Công nghệ Điện ảnh - Truyền hình (*) là gì?,"['Mã ngành của ngành Công nghệ Điện ảnh - Truyền hình (*) là 7210302.', 'Mã ngành của ngành Công nghệ Điện ảnh - Truyền hình (*) là 7210302.', 'Mã ngành của ngành Công nghệ Điện ảnh - Truyền hình (*) là 7210302.', 'Mã ngành của ngành Công nghệ Điện ảnh - Truyền hình (*) là 7210302.', 'Mã ngành của ngành Công nghệ Điện ảnh - Truyền hình (*) là 7210302.']",Mã ngành của ngành Công nghệ Điện ảnh - Truyền hình (*) là 7210302.,Mã ngành của Công nghệ Điện ảnh - Truyền hình (*) là 7210302.,1.0,0.7960013647659709,1.0,0.99999999998
Ngành Công nghệ Truyền thông xét tuyển những tổ hợp môn nào?,"['Các tổ hợp môn xét tuyển cho ngành Công nghệ Truyền thông gồm:\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Vật lý\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Tiếng Anh, Tin học\n- Ngữ văn, Tiếng Anh, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Truyền thông gồm:\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Vật lý\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Tiếng Anh, Tin học\n- Ngữ văn, Tiếng Anh, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Truyền thông gồm:\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Vật lý\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Tiếng Anh, Tin học\n- Ngữ văn, Tiếng Anh, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Truyền thông gồm:\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Vật lý\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Tiếng Anh, Tin học\n- Ngữ văn, Tiếng Anh, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Truyền thông gồm:\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Vật lý\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Tiếng Anh, Tin học\n- Ngữ văn, Tiếng Anh, GDKT&PL']","Ngành Công nghệ Truyền thông xét tuyển các tổ hợp môn sau:
- Ngữ văn, Lịch sử, Địa lý
- Ngữ văn, Toán, Tiếng Anh
- Ngữ văn, Toán, Vật lý
- Ngữ văn, Toán, Lịch sử
- Ngữ văn, Tiếng Anh, Tin học
- Ngữ văn, Tiếng Anh, GDKT&PL","Các tổ hợp xét tuyển của ngành Công nghệ Truyền thông gồm: Ngữ văn, Lịch sử, Địa lý, Ngữ văn, Toán, Tiếng Anh, Ngữ văn, Toán, Vật lý, Ngữ văn, Toán, Lịch sử, Ngữ văn, Tiếng Anh, Tin học, Ngữ văn, Tiếng Anh, GDKT&PL.",1.0,0.8300380830357337,1.0,0.99999999998
Ngành Công nghệ Thẩm mỹ xét tuyển những tổ hợp môn nào?,"['Các tổ hợp môn xét tuyển cho ngành Công nghệ Thẩm mỹ gồm:\n- Sinh học, Toán, Vật lý\n- Sinh học, Toán, Hóa học\n- Sinh học, Toán, Tiếng Anh\n- Sinh học, Toán, Công nghệ\n- Sinh học, Toán, Tin học\n- Sinh học, Ngữ văn, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Thẩm mỹ gồm:\n- Sinh học, Toán, Vật lý\n- Sinh học, Toán, Hóa học\n- Sinh học, Toán, Tiếng Anh\n- Sinh học, Toán, Công nghệ\n- Sinh học, Toán, Tin học\n- Sinh học, Ngữ văn, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Thẩm mỹ gồm:\n- Sinh học, Toán, Vật lý\n- Sinh học, Toán, Hóa học\n- Sinh học, Toán, Tiếng Anh\n- Sinh học, Toán, Công nghệ\n- Sinh học, Toán, Tin học\n- Sinh học, Ngữ văn, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Thẩm mỹ gồm:\n- Sinh học, Toán, Vật lý\n- Sinh học, Toán, Hóa học\n- Sinh học, Toán, Tiếng Anh\n- Sinh học, Toán, Công nghệ\n- Sinh học, Toán, Tin học\n- Sinh học, Ngữ văn, GDKT&PL', 'Các tổ hợp môn xét tuyển cho ngành Công nghệ Thẩm mỹ gồm:\n- Sinh học, Toán, Vật lý\n- Sinh học, Toán, Hóa học\n- Sinh học, Toán, Tiếng Anh\n- Sinh học, Toán, Công nghệ\n- Sinh học, Toán, Tin học\n- Sinh học, Ngữ văn, GDKT&PL']","Ngành Công nghệ Thẩm mỹ xét tuyển các tổ hợp môn sau:
- Sinh học, Toán, Vật lý
- Sinh học, Toán, Hóa học
- Sinh học, Toán, Tiếng Anh
- Sinh học, Toán, Công nghệ
- Sinh học, Toán, Tin học
- Sinh học, Ngữ văn, GDKT&PL","Các tổ hợp xét tuyển của ngành Công nghệ Thẩm mỹ gồm: Sinh học, Toán, Vật lý, Sinh học, Toán, Hóa học, Sinh học, Toán, Tiếng Anh, Sinh học, Toán, Công nghệ, Sinh học, Toán, Tin học, Sinh học, Ngữ văn, GDKT&PL.",1.0,0.8263280779490759,1.0,0.99999999998
Ngành Đông Phương học (Nhật Bản học) xét tuyển những tổ hợp môn nào?,"['Các tổ hợp môn xét tuyển cho ngành Đông Phương học (Nhật Bản học) gồm:\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Toán, Địa lý\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Lịch sử, Tiếng Anh\n- Ngữ văn, Địa lý, Tiếng Anh\n- Ngữ văn, GDKT&PL, Tiếng Anh', 'Các tổ hợp môn xét tuyển cho ngành Đông Phương học (Nhật Bản học) gồm:\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Toán, Địa lý\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Lịch sử, Tiếng Anh\n- Ngữ văn, Địa lý, Tiếng Anh\n- Ngữ văn, GDKT&PL, Tiếng Anh', 'Các tổ hợp môn xét tuyển cho ngành Đông Phương học (Nhật Bản học) gồm:\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Toán, Địa lý\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Lịch sử, Tiếng Anh\n- Ngữ văn, Địa lý, Tiếng Anh\n- Ngữ văn, GDKT&PL, Tiếng Anh', 'Các tổ hợp môn xét tuyển cho ngành Đông Phương học (Nhật Bản học) gồm:\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Toán, Địa lý\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Lịch sử, Tiếng Anh\n- Ngữ văn, Địa lý, Tiếng Anh\n- Ngữ văn, GDKT&PL, Tiếng Anh', 'Các tổ hợp môn xét tuyển cho ngành Đông Phương học (Nhật Bản học) gồm:\n- Ngữ văn, Toán, Tiếng Anh\n- Ngữ văn, Toán, Lịch sử\n- Ngữ văn, Toán, Địa lý\n- Ngữ văn, Lịch sử, Địa lý\n- Ngữ văn, Lịch sử, Tiếng Anh\n- Ngữ văn, Địa lý, Tiếng Anh\n- Ngữ văn, GDKT&PL, Tiếng Anh']","Ngành Đông Phương học (Nhật Bản học) xét tuyển các tổ hợp môn sau:
- Ngữ văn, Toán, Tiếng Anh
- Ngữ văn, Toán, Lịch sử
- Ngữ văn, Toán, Địa lý
- Ngữ văn, Lịch sử, Địa lý
- Ngữ văn, Lịch sử, Tiếng Anh
- Ngữ văn, Địa lý, Tiếng Anh
- Ngữ văn, GDKT&PL, Tiếng Anh","Các tổ hợp xét tuyển của ngành Đông Phương học (Nhật Bản học) gồm: Ngữ văn, Toán, Tiếng Anh, Ngữ văn, Toán, Lịch sử, Ngữ văn, Toán, Địa lý, Ngữ văn, Lịch sử, Địa lý, Ngữ văn, Lịch sử, Tiếng Anh, Ngữ văn, Địa lý, Tiếng Anh, Ngữ văn, GDKT&PL, Tiếng Anh.",1.0,0.818532339025774,1.0,0.99999999998
"Ngành Diễn viên Kịch, Điện ảnh - Truyền hình (*) có thời gian đào tạo là bao lâu?","['4 năm', '4 năm', '4 năm', '4 năm', '4 năm']","Tôi chưa có thông tin chính xác cho câu hỏi này, bạn vui lòng liên hệ bộ phận tuyển sinh để được hỗ trợ cụ thể hơn.","Thời gian đào tạo của ngành Diễn viên Kịch, Điện ảnh - Truyền hình (*) là 4 năm.",0.0,0.0,1.0,0.99999999998
Ngành Kỹ thuật Xét nghiệm Y học có thời gian đào tạo là bao lâu?,"['3,5 - 4 năm', '3,5 - 4 năm', '3,5 - 4 năm', '3,5 - 4 năm', '3,5 - 4 năm']","Tôi chưa có thông tin chính xác cho câu hỏi này, bạn vui lòng liên hệ bộ phận tuyển sinh để được hỗ trợ cụ thể hơn.",Thời gian đào tạo của ngành Kỹ thuật Xét nghiệm Y học là 4 năm.,0.0,0.0,1.0,0.99999999998
Văn bằng tốt nghiệp của ngành Truyền thông Đa phương tiện là gì?,"['Điểm chuẩn 2025 theo Xét học bạ của Truyền thông Đa phương tiện là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Truyền thông Đa phương tiện là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Truyền thông Đa phương tiện là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Truyền thông Đa phương tiện là 18.0 điểm.', 'Điểm chuẩn 2025 theo Xét học bạ của Truyền thông Đa phương tiện là 18.0 điểm.']","Tôi chưa có thông tin chính xác cho câu hỏi này, bạn vui lòng liên hệ bộ phận tuyển sinh để được hỗ trợ cụ thể hơn.",Ngành Truyền thông Đa phương tiện cấp văn bằng: cử nhân.,0.0,0.0,0.0,0.0
Mã ngành của Đông phương học là gì?,"['Mã ngành của ngành Đông phương học là 7310608.', 'Mã ngành của ngành Đông phương học là 7310608.', 'Mã ngành của ngành Đông phương học là 7310608.', 'Mã ngành của ngành Đông phương học là 7310608.', 'Mã ngành của ngành Đông phương học là 7310608.']",Mã ngành của ngành Đông phương học là 7310608.,Mã ngành của Đông phương học là 7310608.,1.0,0.8840167688318008,1.0,0.99999999998
Mã ngành của Đông Phương học (Hàn Quốc học) là gì?,"['Mã ngành của ngành Đông Phương học (Hàn Quốc học) là 7310608.', 'Mã ngành của ngành Đông Phương học (Hàn Quốc học) là 7310608.', 'Mã ngành của ngành Đông Phương học (Hàn Quốc học) là 7310608.', 'Mã ngành của ngành Đông Phương học (Hàn Quốc học) là 7310608.', 'Mã ngành của ngành Đông Phương học (Hàn Quốc học) là 7310608.']",Mã ngành của ngành Đông Phương học (Hàn Quốc học) là 7310608.,Mã ngành của Đông Phương học (Hàn Quốc học) là 7310608.,1.0,0.9204754620362293,1.0,0.99999999998
